panel_group	source	database_id	pathway_name	biological_domain	reason_for_inclusion	redundancy_note	geneset_size
ADDITIONAL_20	KEGG	hsa04612	Antigen processing and presentation	Immune / antigen presentation	Mecanismo de apresentação de antígenos; conecta imunidade adaptativa ao reconhecimento tumoral	Distinta das vias de sinalização; foco em MHC/processamento	82
ADDITIONAL_20	Reactome	R-HSA-913531	Interferon Signaling	Immune / interferon	Programa antiviral/imunológico de interferon, modulador do microambiente imune	Distinta de TNF/TLR; programa de interferon tipo I	361
ADDITIONAL_20	KEGG	hsa04620	Toll-like receptor signaling pathway	Innate immunity	Sensoriamento imune inato (PAMPs); relevante para inflamação associada a tumor	Distinta de interferon; sensoriamento inato de PAMPs	109
ADDITIONAL_20	KEGG	hsa04216	Ferroptosis	Regulated cell death (iron)	Morte celular dependente de ferro; vulnerabilidade metabólica distinta de apoptosis	Morte celular não-apoptótica; distinta de Apoptosis original	42
ADDITIONAL_20	KEGG	hsa04218	Cellular senescence	Cell cycle arrest / aging	Parada proliferativa irreversível associada a senescência tumoral e resposta a terapia	Distinta de Cell cycle/Apoptosis; parada irreversível	157
ADDITIONAL_20	KEGG	hsa03050	Proteasome	Protein degradation	Degradação proteica ubiquitina-proteassoma; regula turnover de oncoproteínas	Distinta de Apoptosis; degradação proteica	46
ADDITIONAL_20	KEGG	hsa00190	Oxidative phosphorylation	Energy metabolism / OXPHOS	Metabolismo energético mitocondrial; reprogramação metabólica tumoral (efeito Warburg inverso)	Metabolismo mitocondrial; distinto das vias de sinalização	138
ADDITIONAL_20	KEGG	hsa03440	Homologous recombination	DNA repair	Reparo de quebras de fita dupla; instabilidade genômica e resposta a dano de DNA	Distinta de Cell cycle; reparo de DNA	41
ADDITIONAL_20	KEGG	hsa03030	DNA replication	DNA replication	Replicação do DNA; proliferação e estresse replicativo	Distinta de Cell cycle; maquinaria replicativa	36
ADDITIONAL_20	Reactome	R-HSA-3299685	Detoxification of Reactive Oxygen Species	Oxidative stress / ROS	Eliminação de espécies reativas de oxigênio; homeostase redox	Homeostase redox; distinta de OXPHOS	37
ADDITIONAL_20	KEGG	hsa04066	HIF-1 signaling pathway	Hypoxia / angiogenesis	Resposta a hipóxia e angiogênese; adaptação tumoral a microambiente hipóxico	Adaptação a hipóxia; distinta de OXPHOS e angiogênese	110
ADDITIONAL_20	KEGG	hsa04140	Autophagy - animal	Autophagy / stress response	Reciclagem celular e sobrevivência sob estresse metabólico; mecanismo distinto de morte celular	Distinta de Apoptosis/Ferroptosis; reciclagem celular	169
